step,time,dt,area_heaviside,area_sharp,area_loss_pct,interface_error,grad_err_max_band,grad_err_mean_band,sign_guard_hits
0,0,0,0.0707861,0.0706592,0.0377091,2.92969e-05,0.000800318,0.000337827,0
20,0.0781717,0.00390968,0.0706473,0.0705237,0.2294,0.0400476,0.0587382,0.0103554,0
40,0.156415,0.00391503,0.0704809,0.0703552,0.467718,0.0787598,0.0742088,0.0102066,0
60,0.234805,0.00392413,0.0703504,0.0702264,0.64991,0.113777,0.0773499,0.0100736,0
80,0.313417,0.00393706,0.070223,0.0700897,0.843327,0.138397,0.0854887,0.0107446,0
100,0.392329,0.00395391,0.0700835,0.0699463,1.04624,0.140635,0.210669,0.0116111,0
120,0.47162,0.00397485,0.0699511,0.0698126,1.23534,0.140501,0.264235,0.0117482,0
140,0.551374,0.00400007,0.069812,0.0696753,1.42962,0.140364,0.511767,0.0125372,0
160,0.63168,0.0040298,0.0696323,0.0695007,1.67658,0.140189,0.65909,0.0139828,0
180,0.712631,0.00406434,0.0694362,0.0692902,1.97447,0.139979,0.695531,0.0178085,0
200,0.794326,0.00410404,0.069222,0.069068,2.28878,0.139756,0.861231,0.0239168,0
220,0.876872,0.00414932,0.0689496,0.0687756,2.70238,0.139464,0.974568,0.0302794,0
240,0.960387,0.00420069,0.0686381,0.0684503,3.16261,0.139139,0.954307,0.0298603,0
260,1.045,0.00425877,0.0683703,0.0681537,3.58226,0.135182,0.969955,0.0290843,0
280,1.13085,0.0043243,0.0681749,0.0679773,3.8318,0.124965,0.955982,0.0259135,0
300,1.2181,0.00439819,0.0679133,0.0677295,4.18237,0.115555,0.932396,0.030934,0
320,1.30692,0.00448153,0.0674708,0.0672681,4.83515,0.110468,0.917229,0.0413122,0
340,1.39752,0.00457568,0.0668004,0.0664777,5.95335,0.107814,0.975648,0.0483213,0
360,1.49013,0.00468233,0.0658669,0.0653003,7.61898,0.106454,0.980977,0.0520119,0
380,1.58502,0.00480361,0.0647186,0.063974,9.49531,0.105932,0.976463,0.0575016,0
400,1.68252,0.00494224,0.0635895,0.0627734,11.1938,0.106021,0.964321,0.0589422,0
420,1.783,0.00510176,0.0626452,0.0619696,12.3309,0.106802,0.955291,0.0661199,0
440,1.88693,0.00528685,0.0617733,0.0612946,13.2859,0.107708,0.976985,0.0675317,1
460,1.99489,0.00550387,0.0603754,0.0598853,15.2797,0.107979,0.981716,0.0799114,0
480,2.1076,0.00576173,0.0582627,0.0568665,19.5504,0.106602,0.987079,0.0894987,0
500,2.226,0.00607327,0.0561392,0.0541791,23.3523,0.105568,0.988945,0.0976965,4
520,2.35136,0.00645792,0.0540871,0.0530969,24.8832,0.106272,0.990198,0.106537,0
540,2.48544,0.0069467,0.0516265,0.0508844,28.0133,0.106452,0.983493,0.104625,1
560,2.63084,0.00759289,0.0489005,0.046391,34.3702,0.103782,0.990812,0.114552,0
580,2.79164,0.00849791,0.046128,0.0444556,37.1082,0.10192,0.990514,0.129236,0
600,2.97506,0.00988661,0.0429289,0.0418097,40.8514,0.0990021,0.994234,0.132889,0
620,3.19627,0.012405,0.0398111,0.0371899,47.387,0.0940234,0.997038,0.141468,4
640,3.50204,0.0193697,0.0365367,0.0351404,50.2865,0.0909607,0.980294,0.149528,0
660,4.38848,0.0276742,0.0331339,0.0310199,56.1158,0.0867328,0.994025,0.159993,0
680,4.74782,0.0137464,0.0303809,0.0282697,60.0066,0.0848993,0.97898,0.154361,0
700,4.98383,0.0104774,0.0280207,0.0267542,62.1506,0.0853064,0.997205,0.153462,0
720,5.17472,0.00884143,0.0260105,0.0254236,64.033,0.0895374,0.965903,0.119565,0
740,5.34016,0.00782134,0.0241967,0.0238336,66.2823,0.0934674,0.981687,0.106271,0
760,5.48875,0.00711118,0.0224886,0.0214825,69.6084,0.092171,0.975795,0.0972084,0
780,5.62518,0.00658271,0.0211055,0.0196967,72.1349,0.0903851,0.930831,0.0876322,2
800,5.75236,0.0061715,0.0201112,0.0191107,72.9639,0.0897992,0.956045,0.0784677,0
820,5.87221,0.0058412,0.0193574,0.0188409,73.3455,0.0895294,0.992075,0.0606927,0
840,5.9861,0.00556952,0.018807,0.0186371,73.6339,0.0893256,0.564109,0.0313627,0
860,6.09503,0.00534196,0.0184843,0.0183282,74.0708,0.0890167,0.545716,0.0187135,0
880,6.19979,0.00514864,0.0181859,0.018042,74.4758,0.0887305,0.524065,0.0155522,0
900,6.30098,0.00498253,0.017893,0.0177643,74.8687,0.083797,0.569398,0.013944,0
920,6.39909,0.00483852,0.0176887,0.0175555,75.164,0.0763702,0.586137,0.0126708,0
940,6.49451,0.00471278,0.0175087,0.0173804,75.4118,0.0686292,0.542272,0.0128536,0
960,6.58758,0.00460238,0.0172595,0.0171088,75.796,0.0610651,0.32339,0.0116663,0
980,6.67859,0.00450503,0.0170008,0.0168719,76.1311,0.0610614,0.301021,0.0123377,0
1000,6.76777,0.00441893,0.0168033,0.0166736,76.4117,0.0701794,0.242915,0.011883,0
1020,6.85533,0.00434264,0.0166599,0.0165344,76.6086,0.0807446,0.287652,0.0112499,0
1040,6.94146,0.00427498,0.0164461,0.0163098,76.9263,0.0869983,0.424924,0.0126835,0
1060,7.02632,0.00421501,0.0162205,0.0160938,77.232,0.0867822,0.245166,0.0121379,0
1080,7.11005,0.00416194,0.0160323,0.0158948,77.5135,0.0865833,0.213624,0.012383,0
1100,7.19279,0.00411512,0.0158752,0.015744,77.7268,0.0864325,0.314517,0.013187,0
